Feature1, Feature2, Correlation, P-Value
average time to solve,Linear-Area-Volume-Conversion,-0.027827160973771366, 0.4012606823353659
average time to solve,Making-Sense-of-Expressions-and-Equations,-0.037063155110946495, 0.2635106881677645
average time to solve,Mean,0.1357451699839382, 3.908159329633612e-05
average time to solve,Meaning-of-PI,-0.03221808850962569, 0.33110883784057316
average time to solve,Measurement,-0.024936362428446202, 0.45196339583941547
average time to solve,Median,0.04420224392908289, 0.18230231773633537
average time to solve,Multiplication,-0.04842212408621306, 0.1439694223185152
average time to solve,Multiplying-Decimals,0.03000433587090389, 0.3654271744880099
average time to solve,Multiplying-Positive-Negative-Numbers,-0.025862054200380426, 0.435346003138069
average time to solve,Number-Line,0.0022390800714074026, 0.9461628987658118
average time to solve,Of-Means-Multiply,-0.018339512802510182, 0.5801757114863685
average time to solve,Ordering-Fractions,-0.02342000693041691, 0.4799421668272558
average time to solve,Ordering-Numbers,-0.036653187651574354, 0.2688323765904308
average time to solve,Order-of-Operations,0.049846721368454305, 0.13252767102430138
average time to solve,Pattern-Finding,0.07500777631085864, 0.023496100549002443
average time to solve,Percent-Of,0.08193368586756314, 0.01331943906461643
average time to solve,Percents,0.04189940936437277, 0.20617468784833518
average time to solve,Perimeter,-0.0006098455024427371, 0.9853263948470392
average time to solve,Point-Plotting,0.011775667295759558, 0.7224832543796165
average time to solve,Prime-Number,-0.02021630616106652, 0.5420313649190426
average time to solve,Probability,-0.06352487740205574, 0.055147118002082066
average time to solve,Properties-of-Geometric-Figures,-0.019626222656674547, 0.5538887137185448
average time to solve,Properties-of-Solids,-0.0035010284598280235, 0.9159123725595846
average time to solve,Proportion,0.02078305162892667, 0.5307632608388178
average time to solve,Pythagorean-theorem,0.023147704468178848, 0.4850645284746114
average time to solve,Range,0.014808289095651204, 0.6551554570945699
average time to solve,Rate,0.07832397963774995, 0.01799488420315213
average time to solve,Rate-with-Distance-and-Time,0.015369428362176127, 0.6429792355223035
average time to solve,Reading-graph,0.03325880530912134, 0.31571905335413153
average time to solve,Reciprocal,-0.04496834067420796, 0.17483268382522665
average time to solve,Reduce-Fraction,-0.026832430150290985, 0.41831040044796
average time to solve,Rounding,0.006105501538058022, 0.8539107325015749
average time to solve,Scale,-0.016956820326263985, 0.6090575537350065
average time to solve,Scientific-Notation,-0.04201199104087174, 0.20495729870204776
average time to solve,Similar-Triangles,-0.019107527415767253, 0.5644151975369966
average time to solve,Slope,-0.00482573218166916, 0.8842885688890991
average time to solve,Square-Root,-0.05406060852589916, 0.10277459196847268
average time to solve,Statistics,0.04094281818290577, 0.21673070099702624
average time to solve,Stem-and-Leaf-Plot,0.005586958897988411, 0.86619594230817
average time to solve,Substitution,0.018121955926425293, 0.5846773598533063
average time to solve,Subtracting-Decimals,0.0048143803736570906, 0.8845588561617008
average time to solve,Subtraction,-0.057367521811776595, 0.08336062054649124
average time to solve,Sum-Of-Interior-Angles-more-than-3-Sides,0.20724207219692983, 2.637520051236839e-10
average time to solve,Sum-of-Interior-Angles-Triangle,-0.067702723013529, 0.0409417883162962
average time to solve,Supplementary-Angles,-0.02166532567058882, 0.5134611501646552
